iter	Passed	Remaining
911	3321	320
912	3324	316
913	3328	313
914	3330	309
915	3333	305
916	3336	301
917	3338	298
918	3341	294
919	3346	290
920	3349	287
921	3351	283
922	3355	279
923	3357	276
924	3361	272
925	3364	268
926	3367	265
927	3369	261
928	3373	257
929	3377	254
930	3380	250
931	3382	246
932	3385	243
933	3388	239
934	3390	235
935	3395	232
936	3397	228
937	3400	224
938	3402	221
939	3405	217
940	3408	213
941	3411	210
942	3414	206
943	3417	202
944	3419	199
945	3422	195
946	3427	191
947	3430	188
948	3433	184
949	3436	180
950	3439	177
951	3447	173
952	3454	170
953	3462	166
954	3469	163
955	3481	160
956	3495	157
957	3500	153
958	3505	149
959	3511	146
960	3514	142
961	3517	138
962	3519	135
963	3523	131
964	3528	127
965	3532	124
966	3535	120
967	3537	116
968	3542	113
969	3545	109
970	3547	105
971	3550	102
972	3553	98
973	3557	94
974	3561	91
975	3564	87
976	3568	84
977	3573	80
978	3576	76
979	3580	73
980	3584	69
981	3588	65
982	3592	62
983	3595	58
984	3598	54
985	3600	51
986	3604	47
987	3607	43
988	3610	40
989	3613	36
990	3616	32
991	3619	29
992	3623	25
993	3626	21
994	3629	18
995	3631	14
996	3634	10
997	3638	7
998	3642	3
999	3645	0
